zone_encoded,vehicle_encoded,platform_encoded,avg_daily_income,month,account_age_days,income_percentile,seasonal_index,actual_claims_month,fair_weekly_premium,is_high_risk
1,1,4,251.69,10,456,0.876,0.8,0,120.0,0
1,1,4,519.55,8,303,0.329,1.55,2,120.0,1
2,3,1,604.94,6,396,0.509,1.4,2,120.0,1
1,0,2,841.71,9,161,0.413,1.3,0,120.0,0
2,3,1,575.65,8,697,0.82,1.55,2,120.0,1
1,3,0,639.76,6,410,0.341,1.4,1,120.0,1
1,0,3,537.29,3,154,0.565,0.8,1,120.0,0
1,3,4,545.34,4,1,0.435,0.85,0,120.0,0
2,2,1,409.01,1,434,0.753,0.8,1,120.0,1
3,0,2,532.37,3,627,0.407,0.8,1,120.0,1
1,0,1,506.2,12,598,0.047,0.8,1,120.0,0
0,0,1,789.27,1,465,0.712,0.8,0,120.0,0
2,2,1,940.22,7,468,0.874,1.6,0,120.0,1
1,0,0,909.37,4,15,0.996,0.85,0,120.0,0
0,0,1,493.24,1,116,0.517,0.8,0,120.0,0
1,0,4,581.79,2,132,0.628,0.8,0,120.0,0
2,3,3,467.48,8,613,0.564,1.55,0,120.0,1
3,0,4,629.4,6,206,0.749,1.4,1,120.0,1
1,3,4,667.02,8,600,0.084,1.55,2,120.0,1
2,0,3,324.18,7,132,0.084,1.6,1,120.0,1
1,2,1,868.91,11,715,0.642,0.8,0,120.0,0
1,0,0,354.29,11,73,0.798,0.8,1,120.0,0
2,0,3,758.92,4,196,0.016,0.85,3,120.0,1
1,0,3,857.92,5,160,0.896,0.95,1,120.0,0
1,3,3,699.05,7,499,0.101,1.6,1,120.0,1
1,1,3,516.99,3,465,0.138,0.8,1,120.0,0
3,0,4,549.9,7,532,0.811,1.6,4,120.0,1
0,3,3,615.56,1,461,0.126,0.8,0,120.0,0
2,0,1,766.17,5,706,0.168,0.95,0,120.0,1
1,3,0,670.68,1,728,0.413,0.8,1,120.0,0
2,2,0,632.31,1,324,0.924,0.8,0,120.0,1
0,3,2,1047.83,6,633,0.972,1.4,0,120.0,0
2,0,1,1005.91,11,454,0.815,0.8,0,120.0,1
1,0,4,532.38,12,589,0.681,0.8,0,120.0,0
2,0,1,401.44,9,117,0.918,1.3,0,120.0,1
1,3,1,826.24,3,43,0.75,0.8,1,120.0,0
2,3,0,723.5,6,688,0.685,1.4,3,120.0,1
0,3,4,956.69,1,471,0.025,0.8,0,120.0,0
0,2,4,888.9,2,515,0.222,0.8,0,120.0,0
2,1,4,662.01,4,38,0.658,0.85,3,120.0,1
0,0,2,593.78,4,498,0.059,0.85,0,120.0,0
2,0,1,1124.88,3,490,0.278,0.8,1,120.0,1
0,2,3,1063.41,3,605,0.395,0.8,0,120.0,0
2,0,1,451.68,2,44,0.621,0.8,3,120.0,1
1,2,2,640.73,8,667,0.621,1.55,1,120.0,1
2,0,1,200.0,3,31,0.702,0.8,2,120.0,1
2,0,3,1209.47,10,139,0.123,0.8,0,120.0,1
2,1,2,618.23,10,471,0.979,0.8,1,120.0,1
3,0,3,304.17,8,722,0.87,1.55,1,120.0,1
0,3,2,562.47,5,29,0.878,0.95,0,120.0,0
0,3,0,644.08,10,342,0.232,0.8,0,120.0,0
2,0,0,354.69,2,539,0.649,0.8,0,120.0,1
3,0,2,528.41,6,533,0.589,1.4,3,120.0,1
1,0,3,396.43,2,190,0.723,0.8,1,120.0,0
1,0,3,612.94,3,671,0.968,0.8,0,120.0,0
0,0,4,829.29,8,103,0.552,1.55,0,120.0,0
0,3,1,616.11,7,476,0.448,1.6,0,120.0,0
1,2,0,557.53,11,241,0.704,0.8,1,120.0,0
1,3,2,489.53,2,654,0.861,0.8,1,120.0,0
1,0,1,880.6,2,117,0.939,0.8,1,120.0,0
3,0,1,575.16,11,662,0.661,0.8,2,120.0,1
1,0,0,455.44,9,524,0.053,1.3,0,120.0,0
2,1,1,637.35,8,507,0.49,1.55,1,120.0,1
3,3,3,476.55,8,274,0.218,1.55,2,120.0,1
2,3,1,512.99,12,428,0.711,0.8,2,120.0,1
1,3,3,686.36,7,625,0.052,1.6,0,120.0,1
1,3,2,403.19,1,184,0.212,0.8,0,120.0,0
2,3,1,550.96,8,578,0.616,1.55,1,120.0,1
2,3,1,837.11,8,166,0.242,1.55,1,120.0,1
1,0,4,677.98,6,714,0.562,1.4,2,120.0,1
1,0,1,1090.53,11,193,0.946,0.8,2,120.0,0
2,0,3,729.68,7,569,0.487,1.6,2,120.0,1
2,0,1,1035.31,11,325,0.084,0.8,0,120.0,1
0,3,1,635.41,5,272,0.333,0.95,0,120.0,0
1,0,0,608.7,9,615,0.593,1.3,2,120.0,0
1,0,4,821.49,1,613,0.629,0.8,0,120.0,0
2,3,2,911.84,8,147,0.372,1.55,2,120.0,1
2,0,1,1035.65,4,84,0.782,0.85,1,120.0,1
0,3,4,809.54,8,20,0.882,1.55,0,120.0,0
2,0,0,773.67,11,55,0.669,0.8,0,120.0,1
3,1,4,696.24,7,377,0.22,1.6,4,120.0,1
1,3,0,638.23,3,537,0.649,0.8,0,120.0,0
1,2,4,610.82,7,41,0.611,1.6,0,120.0,1
0,0,0,389.5,9,117,0.572,1.3,0,120.0,0
1,0,3,595.81,6,55,0.206,1.4,1,120.0,1
1,0,2,1160.97,2,286,0.378,0.8,0,120.0,0
1,0,0,511.6,7,124,0.624,1.6,1,120.0,1
1,0,1,576.08,6,163,0.617,1.4,0,120.0,1
0,0,4,273.77,5,50,0.173,0.95,0,104.81,0
2,0,1,700.89,2,251,0.843,0.8,0,120.0,1
3,0,0,836.41,1,704,0.575,0.8,1,120.0,1
2,1,4,935.61,5,81,0.807,0.95,2,120.0,1
2,0,4,1045.31,10,43,0.042,0.8,0,120.0,1
1,3,0,532.99,2,479,0.246,0.8,0,120.0,0
1,2,1,599.12,12,443,0.601,0.8,1,120.0,0
2,3,4,561.38,7,354,0.323,1.6,1,120.0,1
1,0,1,551.3,8,208,0.428,1.55,1,120.0,1
0,3,2,809.78,9,446,0.755,1.3,0,120.0,0
2,0,4,462.37,4,253,0.781,0.85,1,120.0,1
0,0,4,296.4,4,160,0.118,0.85,0,101.53,0
1,0,0,367.31,9,275,0.565,1.3,1,120.0,0
2,0,1,696.19,8,538,0.751,1.55,2,120.0,1
0,3,4,804.56,5,422,0.676,0.95,0,120.0,0
1,0,2,479.59,12,554,0.653,0.8,1,120.0,0
2,3,0,1083.73,1,213,0.159,0.8,0,120.0,1
1,2,3,1026.51,10,86,0.876,0.8,0,120.0,0
1,0,4,524.97,10,221,0.319,0.8,0,120.0,0
0,2,0,648.78,5,368,0.29,0.95,0,120.0,0
2,0,0,622.48,10,403,0.379,0.8,1,120.0,1
1,1,1,601.53,11,602,0.714,0.8,0,120.0,0
1,0,4,200.0,8,49,0.932,1.55,1,120.0,1
3,2,2,846.06,12,719,0.387,0.8,1,120.0,1
0,1,3,426.09,10,239,0.963,0.8,0,120.0,0
1,3,1,666.68,3,647,0.622,0.8,0,120.0,0
1,0,3,696.8,8,4,0.011,1.55,1,120.0,1
1,3,4,970.25,5,518,0.573,0.95,2,120.0,0
1,3,0,706.13,5,81,0.848,0.95,0,120.0,0
0,2,0,846.2,1,549,0.763,0.8,1,120.0,0
1,3,3,657.67,11,67,0.885,0.8,0,120.0,0
2,0,1,684.71,10,3,0.755,0.8,0,120.0,1
3,3,4,533.06,7,143,0.656,1.6,2,120.0,1
1,2,3,641.8,8,629,0.289,1.55,0,120.0,1
2,0,4,751.19,2,33,0.434,0.8,0,120.0,1
0,2,1,629.73,11,46,0.239,0.8,0,120.0,0
2,0,2,637.91,10,98,0.311,0.8,0,120.0,1
2,0,2,578.28,12,546,0.801,0.8,0,120.0,1
1,3,3,364.48,10,267,0.477,0.8,0,120.0,0
1,3,4,724.3,1,50,0.913,0.8,0,120.0,0
1,0,2,512.9,10,31,0.1,0.8,1,120.0,0
0,3,3,516.79,2,475,0.978,0.8,0,120.0,0
0,2,0,294.6,9,168,0.834,1.3,0,120.0,0
1,3,3,643.08,6,237,0.919,1.4,1,120.0,1
0,1,4,699.62,10,346,0.276,0.8,0,120.0,0
1,0,1,469.55,8,545,0.499,1.55,0,120.0,1
3,1,1,759.05,2,558,0.225,0.8,1,120.0,1
2,3,2,636.28,5,587,0.155,0.95,0,120.0,1
1,0,0,872.83,12,434,0.949,0.8,1,120.0,0
0,3,1,840.86,10,193,0.885,0.8,0,120.0,0
0,0,0,490.39,1,687,0.068,0.8,0,120.0,0
0,1,3,538.9,11,460,0.582,0.8,1,120.0,0
3,0,1,608.09,7,26,0.244,1.6,3,120.0,1
0,2,0,528.82,5,633,0.157,0.95,0,120.0,0
0,3,1,559.41,10,118,0.169,0.8,0,120.0,0
1,0,4,703.91,3,435,0.602,0.8,1,120.0,0
2,2,4,521.98,2,139,0.733,0.8,0,120.0,1
1,2,1,470.23,7,262,0.861,1.6,0,120.0,1
0,0,1,682.87,11,210,0.303,0.8,0,120.0,0
1,0,3,538.74,2,209,0.172,0.8,0,120.0,0
0,3,2,841.93,10,299,0.583,0.8,0,120.0,0
0,1,0,714.61,6,512,0.809,1.4,1,120.0,0
2,3,3,620.01,8,82,0.936,1.55,0,120.0,1
1,3,1,807.89,8,268,0.021,1.55,1,120.0,1
2,0,0,461.88,5,565,0.156,0.95,2,120.0,1
1,3,0,734.16,5,223,0.864,0.95,0,120.0,0
2,2,2,679.99,7,173,0.428,1.6,3,120.0,1
1,1,2,523.56,11,9,0.251,0.8,1,120.0,0
1,2,4,488.04,3,282,0.337,0.8,0,120.0,0
0,2,2,707.31,8,326,0.577,1.55,2,120.0,0
0,0,4,727.8,4,703,0.924,0.85,1,120.0,0
2,3,3,1049.94,5,420,0.052,0.95,2,120.0,1
2,3,2,873.95,8,697,0.599,1.55,0,120.0,1
0,3,1,966.11,8,114,0.938,1.55,0,120.0,0
2,0,1,664.04,11,516,0.313,0.8,0,120.0,1
2,3,1,601.13,4,107,0.846,0.85,2,120.0,1
3,3,1,487.59,11,171,0.958,0.8,2,120.0,1
1,0,0,889.39,1,398,0.302,0.8,1,120.0,0
2,3,1,687.84,6,446,0.731,1.4,1,120.0,1
1,0,2,283.48,8,593,0.554,1.55,1,120.0,1
2,3,4,867.89,8,577,0.475,1.55,1,120.0,1
1,0,2,683.66,12,463,0.831,0.8,2,120.0,0
2,2,3,972.43,7,694,0.647,1.6,2,120.0,1
1,0,2,649.6,3,608,0.632,0.8,0,120.0,0
1,0,4,486.09,8,207,0.347,1.55,0,120.0,1
2,3,3,830.22,4,282,0.376,0.85,0,120.0,1
1,2,1,617.1,12,425,0.778,0.8,0,120.0,0
1,1,1,740.29,3,366,0.197,0.8,0,120.0,0
3,0,3,530.26,5,444,0.195,0.95,1,120.0,1
1,0,2,991.42,10,350,0.026,0.8,1,120.0,0
2,3,4,626.48,4,18,0.486,0.85,0,120.0,1
2,1,2,398.18,6,218,0.72,1.4,1,120.0,1
1,0,3,420.68,12,474,0.98,0.8,0,120.0,0
2,0,1,888.91,2,355,0.026,0.8,1,120.0,1
0,0,4,508.89,2,501,0.068,0.8,0,120.0,0
1,2,3,586.25,1,427,0.737,0.8,1,120.0,0
1,0,1,822.39,7,386,0.641,1.6,0,120.0,1
0,3,0,839.25,7,698,0.069,1.6,1,120.0,0
1,2,0,872.11,12,651,0.557,0.8,1,120.0,0
2,0,2,654.1,6,451,0.228,1.4,3,120.0,1
2,0,4,749.22,5,109,0.156,0.95,0,120.0,1
1,3,1,507.25,3,570,0.204,0.8,0,120.0,0
1,2,2,759.3,1,668,0.784,0.8,1,120.0,0
0,2,2,556.09,6,114,0.584,1.4,0,120.0,0
1,2,2,873.48,11,196,0.731,0.8,0,120.0,0
1,3,2,687.63,9,308,0.486,1.3,0,120.0,0
1,2,0,816.89,4,618,0.358,0.85,0,120.0,0
2,1,1,618.38,7,479,0.146,1.6,2,120.0,1
3,1,4,816.79,6,267,0.224,1.4,2,120.0,1
2,1,1,305.73,11,158,0.923,0.8,0,120.0,1
1,2,3,544.26,10,309,0.932,0.8,0,120.0,0
3,1,4,764.99,11,316,0.974,0.8,0,120.0,1
2,2,2,914.33,5,551,0.427,0.95,1,120.0,1
0,3,1,587.23,8,657,0.21,1.55,0,120.0,0
2,1,2,399.06,9,398,0.236,1.3,1,120.0,1
2,0,2,632.6,10,713,0.884,0.8,0,120.0,1
1,0,2,794.37,7,81,0.671,1.6,0,120.0,1
2,0,2,699.18,4,601,0.243,0.85,1,120.0,1
1,0,0,655.06,8,525,0.835,1.55,2,120.0,1
0,0,0,681.75,11,474,0.947,0.8,0,120.0,0
2,1,4,603.05,11,56,0.011,0.8,3,120.0,1
3,3,4,842.34,7,539,0.256,1.6,3,120.0,1
3,0,1,693.18,12,600,0.469,0.8,1,120.0,1
1,0,3,661.0,1,176,0.278,0.8,0,120.0,0
0,0,4,772.83,9,477,0.463,1.3,0,120.0,0
1,3,2,662.41,12,179,0.069,0.8,1,120.0,0
1,2,3,789.92,11,698,0.709,0.8,0,120.0,0
1,3,3,731.44,5,187,0.663,0.95,0,120.0,0
2,3,2,1094.21,7,489,0.542,1.6,2,120.0,1
2,3,4,471.07,9,271,0.907,1.3,1,120.0,1
2,3,4,608.69,4,414,0.859,0.85,0,120.0,1
2,3,2,641.12,4,683,0.185,0.85,1,120.0,1
3,0,4,931.69,7,129,0.135,1.6,3,120.0,1
2,2,2,353.66,4,563,0.737,0.85,0,120.0,1
1,3,3,388.57,2,327,0.69,0.8,0,120.0,0
3,0,3,661.37,12,65,0.319,0.8,2,120.0,1
1,0,4,721.53,12,357,0.729,0.8,0,120.0,0
0,0,3,1029.56,4,657,0.589,0.85,1,120.0,0
2,2,4,811.22,4,32,0.195,0.85,0,120.0,1
0,0,3,482.2,2,320,0.298,0.8,1,120.0,0
2,0,1,752.81,11,168,0.462,0.8,1,120.0,1
2,0,1,707.23,3,425,0.889,0.8,0,120.0,1
1,3,3,527.36,12,600,0.614,0.8,0,120.0,0
1,0,3,517.63,3,413,0.109,0.8,1,120.0,0
1,3,4,544.96,3,474,0.498,0.8,0,120.0,0
0,3,0,440.3,10,84,0.213,0.8,0,120.0,0
1,0,1,683.49,1,695,0.86,0.8,0,120.0,0
1,0,1,392.96,11,727,0.375,0.8,0,120.0,0
3,3,2,581.88,11,537,0.315,0.8,0,120.0,1
2,2,1,1037.99,2,283,0.279,0.8,0,120.0,1
1,1,0,440.53,1,65,0.442,0.8,0,120.0,0
1,0,4,652.37,8,615,0.542,1.55,1,120.0,1
0,3,0,574.68,2,400,0.379,0.8,0,120.0,0
0,3,1,574.96,2,337,0.848,0.8,0,120.0,0
2,3,4,409.26,10,326,0.585,0.8,1,120.0,1
2,1,4,740.08,7,145,0.993,1.6,2,120.0,1
1,1,0,731.18,5,213,0.803,0.95,1,120.0,0
2,2,0,603.83,12,409,0.241,0.8,1,120.0,1
1,0,0,439.42,1,678,0.396,0.8,0,120.0,0
2,0,4,684.25,6,667,0.383,1.4,1,120.0,1
1,0,0,732.29,11,86,0.041,0.8,1,120.0,0
1,0,0,814.6,9,262,0.284,1.3,0,120.0,0
2,0,2,431.14,5,105,0.159,0.95,1,120.0,1
0,2,0,745.75,3,41,0.743,0.8,1,120.0,0
0,0,0,382.11,5,495,0.196,0.95,0,120.0,0
1,0,4,703.35,10,588,0.187,0.8,1,120.0,0
2,2,4,392.86,8,90,0.795,1.55,2,120.0,1
2,3,0,535.88,12,453,0.054,0.8,2,120.0,1
2,0,4,605.52,11,191,0.022,0.8,2,120.0,1
2,2,1,510.15,3,501,0.069,0.8,2,120.0,1
3,3,3,843.87,9,434,0.487,1.3,2,120.0,1
2,2,0,334.88,8,531,0.855,1.55,1,120.0,1
0,0,0,728.79,5,106,0.512,0.95,0,120.0,0
2,0,1,765.21,7,507,0.112,1.6,2,120.0,1
2,0,3,429.01,9,710,0.176,1.3,0,120.0,1
0,0,3,798.59,7,94,0.182,1.6,1,120.0,0
2,0,3,200.0,8,56,0.9,1.55,1,120.0,1
1,0,0,302.43,5,570,0.448,0.95,1,120.0,0
1,0,1,730.78,2,624,0.815,0.8,0,120.0,0
1,0,3,263.9,10,371,0.028,0.8,0,120.0,0
1,1,3,396.8,9,124,0.165,1.3,1,120.0,1
1,3,2,677.72,2,160,0.958,0.8,0,120.0,0
2,0,1,921.23,12,634,0.501,0.8,2,120.0,1
1,2,1,565.21,7,229,0.403,1.6,1,120.0,1
1,0,1,744.0,12,564,0.8,0.8,1,120.0,0
0,3,1,267.66,10,163,0.623,0.8,0,86.29,0
1,0,0,886.0,2,338,0.426,0.8,0,120.0,0
0,0,4,768.08,3,484,0.625,0.8,1,120.0,0
0,0,2,581.17,6,421,0.825,1.4,0,120.0,0
1,3,1,437.46,9,611,0.332,1.3,0,120.0,0
1,0,3,211.09,12,576,0.075,0.8,0,120.0,0
0,3,3,572.28,6,214,0.67,1.4,0,120.0,0
2,2,1,605.86,1,721,0.195,0.8,0,120.0,1
3,0,2,584.94,1,618,0.156,0.8,3,120.0,1
3,0,2,351.72,11,565,0.951,0.8,1,120.0,1
1,0,1,490.25,11,615,0.885,0.8,0,120.0,0
0,0,0,811.01,8,156,0.124,1.55,1,120.0,0
0,0,0,565.54,2,253,0.416,0.8,0,120.0,0
0,1,2,371.2,12,106,0.656,0.8,0,120.0,0
0,2,0,769.37,1,116,0.122,0.8,0,120.0,0
1,0,2,467.91,6,451,0.319,1.4,0,120.0,1
3,0,2,834.23,4,535,0.064,0.85,1,120.0,1
1,2,0,489.43,9,77,0.482,1.3,0,120.0,0
0,0,4,652.79,11,580,0.595,0.8,0,120.0,0
2,0,3,200.0,7,526,0.97,1.6,2,120.0,1
3,0,0,250.77,5,472,0.193,0.95,0,120.0,1
1,2,4,606.47,7,272,0.911,1.6,2,120.0,1
2,1,3,836.4,2,625,0.464,0.8,2,120.0,1
3,0,4,540.61,1,316,0.616,0.8,0,120.0,1
1,3,3,403.7,11,729,0.731,0.8,0,120.0,0
0,0,4,410.23,10,577,0.48,0.8,0,120.0,0
2,3,4,954.23,9,549,0.646,1.3,1,120.0,1
0,3,2,739.75,1,276,0.509,0.8,1,120.0,0
1,0,2,624.65,2,717,0.162,0.8,0,120.0,0
0,0,1,491.31,4,134,0.955,0.85,0,120.0,0
1,0,0,684.99,4,488,0.183,0.85,1,120.0,0
1,1,1,758.5,7,115,0.923,1.6,0,120.0,1
1,3,1,831.44,10,178,0.338,0.8,1,120.0,0
0,3,4,780.25,2,276,0.561,0.8,0,120.0,0
0,0,4,508.41,10,274,0.339,0.8,1,120.0,0
1,0,1,793.2,7,407,0.937,1.6,0,120.0,1
1,0,4,671.02,6,716,0.377,1.4,0,120.0,1
0,2,0,642.49,3,483,0.468,0.8,0,120.0,0
3,3,2,824.47,8,74,0.576,1.55,0,120.0,1
2,3,4,979.35,11,507,0.822,0.8,0,120.0,1
2,0,3,1046.21,4,423,0.652,0.85,2,120.0,1
0,2,0,548.59,5,25,0.56,0.95,0,120.0,0
1,3,0,394.39,4,435,0.402,0.85,0,120.0,0
1,3,3,451.42,11,557,0.999,0.8,0,120.0,0
1,3,2,892.11,4,352,0.515,0.85,0,120.0,0
3,0,4,222.65,3,495,0.05,0.8,2,120.0,1
0,0,3,681.98,2,8,0.954,0.8,1,120.0,0
2,0,0,712.47,10,10,0.974,0.8,0,120.0,1
0,3,1,855.72,5,174,0.538,0.95,0,120.0,0
0,0,1,690.8,7,193,0.718,1.6,0,120.0,0
2,0,4,913.74,3,425,0.879,0.8,0,120.0,1
1,0,0,417.31,1,411,0.562,0.8,0,120.0,0
2,3,2,659.1,5,126,0.64,0.95,0,120.0,1
2,3,4,475.65,9,495,0.006,1.3,2,120.0,1
0,0,0,774.63,10,9,0.712,0.8,0,120.0,0
2,1,3,743.18,10,102,0.737,0.8,1,120.0,1
2,3,4,488.89,5,181,0.476,0.95,1,120.0,1
3,2,3,936.07,1,686,0.482,0.8,0,120.0,1
0,0,0,829.81,2,505,0.241,0.8,1,120.0,0
1,0,4,338.71,11,363,0.267,0.8,0,120.0,0
1,2,3,830.95,5,651,0.956,0.95,1,120.0,0
2,2,2,619.97,11,455,0.364,0.8,1,120.0,1
2,0,1,1105.93,11,423,0.681,0.8,1,120.0,1
2,1,4,503.72,11,163,0.294,0.8,3,120.0,1
1,0,1,743.59,12,191,0.878,0.8,1,120.0,0
2,0,2,1013.78,2,359,0.447,0.8,0,120.0,1
1,0,4,674.09,2,200,0.225,0.8,1,120.0,0
1,3,4,536.87,3,51,0.686,0.8,1,120.0,0
0,0,2,698.57,10,505,0.977,0.8,0,120.0,0
1,3,1,614.88,9,497,0.773,1.3,0,120.0,0
1,2,1,352.65,9,498,0.917,1.3,2,120.0,0
1,0,3,609.08,6,146,0.752,1.4,0,120.0,1
1,0,2,742.24,1,412,0.238,0.8,1,120.0,0
0,0,3,711.41,2,710,0.174,0.8,0,120.0,0
2,3,3,707.93,5,596,0.086,0.95,1,120.0,1
0,0,1,873.72,12,618,0.395,0.8,0,120.0,0
0,0,1,713.26,7,154,0.101,1.6,0,120.0,0
2,3,1,201.07,9,720,0.813,1.3,0,120.0,1
2,0,4,675.85,8,585,0.519,1.55,1,120.0,1
3,0,0,537.32,5,495,0.039,0.95,1,120.0,1
3,0,3,283.97,1,612,0.561,0.8,1,120.0,1
1,0,0,421.21,12,406,0.017,0.8,0,120.0,0
1,0,2,455.91,3,525,0.321,0.8,2,120.0,0
2,0,0,533.55,3,363,0.881,0.8,1,120.0,1
1,3,4,428.91,5,705,0.604,0.95,0,120.0,0
1,2,2,564.73,12,467,0.047,0.8,1,120.0,0
0,0,0,705.06,9,604,0.12,1.3,0,120.0,0
0,3,4,920.1,4,223,0.731,0.85,1,120.0,0
2,2,2,819.82,2,233,0.286,0.8,0,120.0,1
1,3,1,349.66,6,589,0.805,1.4,1,120.0,1
1,0,2,296.21,9,356,0.242,1.3,1,120.0,0
2,2,1,652.49,7,60,0.055,1.6,2,120.0,1
1,1,4,898.66,9,658,0.439,1.3,0,120.0,1
1,0,2,450.93,3,189,0.423,0.8,0,120.0,0
0,3,0,223.14,5,248,0.423,0.95,0,85.43,0
3,0,0,817.68,9,678,0.339,1.3,3,120.0,1
0,1,2,663.46,5,172,0.645,0.95,1,120.0,0
2,3,4,877.56,2,87,0.576,0.8,1,120.0,1
1,2,3,907.12,9,538,0.189,1.3,1,120.0,0
2,0,3,819.23,8,348,0.535,1.55,1,120.0,1
1,3,4,396.0,9,211,0.001,1.3,0,120.0,0
1,0,3,778.65,2,564,0.575,0.8,0,120.0,0
1,0,0,462.07,7,639,0.13,1.6,1,120.0,1
2,0,4,387.06,12,256,0.502,0.8,1,120.0,1
0,0,0,1060.15,7,688,0.979,1.6,0,120.0,0
2,2,0,572.56,9,38,0.315,1.3,1,120.0,1
2,3,4,926.32,5,323,0.741,0.95,1,120.0,1
1,3,4,588.46,9,72,0.487,1.3,1,120.0,0
2,0,0,730.34,5,545,0.589,0.95,0,120.0,1
1,3,2,839.05,4,285,0.996,0.85,0,120.0,0
1,0,2,808.87,10,151,0.213,0.8,0,120.0,0
1,2,2,556.31,3,64,0.838,0.8,0,120.0,0
2,3,4,523.49,6,489,0.931,1.4,1,120.0,1
0,0,2,644.53,8,64,0.958,1.55,0,120.0,0
1,2,4,470.16,11,166,0.8,0.8,0,120.0,0
1,0,1,952.29,9,672,0.359,1.3,1,120.0,0
0,0,4,653.55,9,216,0.482,1.3,0,120.0,0
1,0,3,879.02,2,123,0.23,0.8,0,120.0,0
0,1,2,370.6,7,452,0.395,1.6,0,120.0,0
1,2,1,335.61,2,727,0.693,0.8,0,120.0,0
1,3,3,672.82,11,209,0.569,0.8,0,120.0,0
2,0,3,777.96,4,6,0.614,0.85,2,120.0,1
2,0,2,731.43,3,595,0.778,0.8,1,120.0,1
2,0,1,727.52,6,6,0.775,1.4,3,120.0,1
2,2,2,767.53,1,423,0.685,0.8,0,120.0,1
1,3,4,471.0,4,399,0.68,0.85,1,120.0,0
2,0,3,442.13,1,702,0.717,0.8,0,120.0,1
0,0,2,643.23,8,529,0.764,1.55,0,120.0,0
2,0,4,742.2,9,567,0.687,1.3,2,120.0,1
2,0,1,484.26,9,519,0.0,1.3,1,120.0,1
1,0,2,623.05,10,713,0.557,0.8,1,120.0,0
2,0,2,457.96,5,699,0.661,0.95,1,120.0,1
