city,date,month,rainfall_mm,temp_celsius,aqi,trigger_fired
mumbai,2023-02-12,2,7.32,23.99,112.0,0
mumbai,2023-02-13,2,0.96,25.36,65.4,0
mumbai,2023-02-14,2,4.38,23.87,64.0,0
mumbai,2023-02-15,2,2.51,21.26,65.5,0
mumbai,2023-02-16,2,2.12,23.72,126.3,0
mumbai,2023-02-17,2,3.32,22.51,171.6,0
mumbai,2023-02-18,2,3.53,21.33,91.3,0
mumbai,2023-02-19,2,2.02,22.59,111.4,0
mumbai,2023-02-20,2,3.18,22.89,76.4,0
mumbai,2023-02-21,2,3.89,22.15,115.7,0
mumbai,2023-02-22,2,2.64,20.55,108.9,0
mumbai,2023-02-23,2,6.93,23.16,55.7,0
mumbai,2023-02-24,2,2.93,24.16,61.2,0
mumbai,2023-02-25,2,5.62,24.07,105.4,0
mumbai,2023-02-26,2,3.27,30.75,129.9,0
mumbai,2023-02-27,2,4.45,22.41,112.8,0
mumbai,2023-02-28,2,1.15,22.57,88.8,0
mumbai,2023-03-01,3,1.44,33.37,41.6,0
mumbai,2023-03-02,3,1.52,34.18,136.8,0
mumbai,2023-03-03,3,2.48,30.54,96.5,0
mumbai,2023-03-04,3,2.33,30.7,130.9,0
mumbai,2023-03-05,3,4.03,27.95,95.6,0
mumbai,2023-03-06,3,1.28,33.7,66.8,0
mumbai,2023-03-07,3,6.56,31.05,70.4,0
mumbai,2023-03-08,3,6.94,32.81,101.3,0
mumbai,2023-03-09,3,6.53,28.96,75.5,0
mumbai,2023-03-10,3,5.26,30.58,82.9,0
mumbai,2023-03-11,3,7.34,25.52,59.3,0
mumbai,2023-03-12,3,1.84,29.5,136.3,0
mumbai,2023-03-13,3,5.43,34.88,46.9,0
mumbai,2023-03-14,3,4.95,32.02,83.9,0
mumbai,2023-03-15,3,2.36,32.23,109.9,0
mumbai,2023-03-16,3,6.3,29.52,110.6,0
mumbai,2023-03-17,3,2.38,32.56,71.3,0
mumbai,2023-03-18,3,1.91,31.01,71.3,0
mumbai,2023-03-19,3,1.69,33.8,99.2,0
mumbai,2023-03-20,3,3.98,33.26,106.6,0
mumbai,2023-03-21,3,1.23,31.96,93.5,0
mumbai,2023-03-22,3,5.29,30.82,136.6,0
mumbai,2023-03-23,3,1.57,34.61,90.6,0
mumbai,2023-03-24,3,3.66,31.38,81.9,0
mumbai,2023-03-25,3,1.34,32.19,107.9,0
mumbai,2023-03-26,3,1.1,36.18,126.1,0
mumbai,2023-03-27,3,0.74,33.25,108.9,0
mumbai,2023-03-28,3,2.23,30.21,27.3,0
mumbai,2023-03-29,3,6.96,30.35,80.4,0
mumbai,2023-03-30,3,3.05,30.87,77.0,0
mumbai,2023-03-31,3,2.62,31.06,97.0,0
mumbai,2023-04-01,4,0.55,35.59,70.1,0
mumbai,2023-04-02,4,5.55,39.02,134.3,0
mumbai,2023-04-03,4,4.1,38.08,80.9,0
mumbai,2023-04-04,4,2.24,39.05,65.2,0
mumbai,2023-04-05,4,3.28,41.47,46.6,0
mumbai,2023-04-06,4,1.08,38.85,90.4,0
mumbai,2023-04-07,4,2.42,36.85,158.3,0
mumbai,2023-04-08,4,3.03,42.71,67.0,1
mumbai,2023-04-09,4,4.14,38.77,86.7,0
mumbai,2023-04-10,4,4.42,36.72,72.0,0
mumbai,2023-04-11,4,0.21,37.35,32.6,0
mumbai,2023-04-12,4,2.94,36.6,104.8,0
mumbai,2023-04-13,4,0.64,42.06,87.8,1
mumbai,2023-04-14,4,1.79,34.97,130.6,0
mumbai,2023-04-15,4,2.06,40.88,86.7,0
mumbai,2023-04-16,4,2.15,38.41,91.4,0
mumbai,2023-04-17,4,1.55,39.65,48.9,0
mumbai,2023-04-18,4,3.32,35.33,128.3,0
mumbai,2023-04-19,4,2.88,36.9,93.4,0
mumbai,2023-04-20,4,6.18,42.52,142.7,1
mumbai,2023-04-21,4,1.84,40.34,134.7,0
mumbai,2023-04-22,4,4.15,40.52,37.2,0
mumbai,2023-04-23,4,0.75,34.32,96.0,0
mumbai,2023-04-24,4,0.19,41.66,48.6,0
mumbai,2023-04-25,4,0.4,38.29,89.8,0
mumbai,2023-04-26,4,3.03,35.79,110.1,0
mumbai,2023-04-27,4,2.95,36.52,112.4,0
mumbai,2023-04-28,4,1.78,36.43,105.1,0
mumbai,2023-04-29,4,1.45,36.81,47.0,0
mumbai,2023-04-30,4,1.93,42.33,91.1,1
mumbai,2023-05-01,5,1.24,43.63,115.5,1
mumbai,2023-05-02,5,1.33,42.14,72.7,1
mumbai,2023-05-03,5,1.8,38.6,71.2,0
mumbai,2023-05-04,5,0.18,44.35,99.3,1
mumbai,2023-05-05,5,13.01,45.44,135.7,1
mumbai,2023-05-06,5,0.11,41.69,47.3,0
mumbai,2023-05-07,5,1.3,41.04,96.5,0
mumbai,2023-05-08,5,4.24,43.18,134.4,1
mumbai,2023-05-09,5,2.39,41.48,76.8,0
mumbai,2023-05-10,5,6.29,41.45,48.5,0
mumbai,2023-05-11,5,4.28,47.02,90.8,1
mumbai,2023-05-12,5,2.48,41.9,75.4,0
mumbai,2023-05-13,5,1.37,41.47,20.0,0
mumbai,2023-05-14,5,3.67,42.72,62.8,1
mumbai,2023-05-15,5,1.39,44.71,105.8,1
mumbai,2023-05-16,5,2.63,39.86,106.3,0
mumbai,2023-05-17,5,1.28,44.34,98.4,1
mumbai,2023-05-18,5,0.06,43.72,62.9,1
mumbai,2023-05-19,5,3.56,39.88,173.5,0
mumbai,2023-05-20,5,0.45,41.48,78.5,0
mumbai,2023-05-21,5,4.5,42.05,123.2,1
mumbai,2023-05-22,5,3.88,38.26,66.1,0
mumbai,2023-05-23,5,3.41,42.79,95.1,1
mumbai,2023-05-24,5,2.41,43.37,85.3,1
mumbai,2023-05-25,5,4.96,43.71,72.2,1
mumbai,2023-05-26,5,3.44,43.99,77.4,1
mumbai,2023-05-27,5,2.79,47.35,81.9,1
mumbai,2023-05-28,5,4.34,39.12,59.8,0
mumbai,2023-05-29,5,0.31,42.5,42.6,1
mumbai,2023-05-30,5,2.28,44.86,23.7,1
mumbai,2023-05-31,5,2.69,44.74,95.0,1
mumbai,2023-06-01,6,33.94,39.08,77.5,0
mumbai,2023-06-02,6,35.43,42.94,75.4,1
mumbai,2023-06-03,6,30.3,40.06,64.3,0
mumbai,2023-06-04,6,23.77,37.44,79.6,0
mumbai,2023-06-05,6,40.26,37.86,60.6,0
mumbai,2023-06-06,6,15.84,37.29,116.1,0
mumbai,2023-06-07,6,55.36,35.14,98.4,1
mumbai,2023-06-08,6,8.64,37.37,36.6,0
mumbai,2023-06-09,6,59.94,38.76,169.3,1
mumbai,2023-06-10,6,19.15,38.49,93.3,0
mumbai,2023-06-11,6,37.67,38.83,103.3,0
mumbai,2023-06-12,6,27.15,36.12,137.8,0
mumbai,2023-06-13,6,14.71,38.22,113.4,0
mumbai,2023-06-14,6,102.08,39.45,85.3,1
mumbai,2023-06-15,6,15.85,40.1,20.4,0
mumbai,2023-06-16,6,18.73,39.66,79.9,0
mumbai,2023-06-17,6,65.92,36.15,85.5,1
mumbai,2023-06-18,6,22.38,35.76,83.1,0
mumbai,2023-06-19,6,36.95,36.37,105.5,0
mumbai,2023-06-20,6,11.25,38.07,167.2,0
mumbai,2023-06-21,6,23.55,36.83,110.2,0
mumbai,2023-06-22,6,20.56,38.71,89.0,0
mumbai,2023-06-23,6,14.3,41.18,20.0,0
mumbai,2023-06-24,6,2.24,35.92,79.7,0
mumbai,2023-06-25,6,16.63,38.1,105.8,0
mumbai,2023-06-26,6,40.37,35.75,118.1,1
mumbai,2023-06-27,6,52.73,39.84,56.1,1
mumbai,2023-06-28,6,14.54,39.38,79.5,0
mumbai,2023-06-29,6,18.74,39.82,103.3,0
mumbai,2023-06-30,6,16.78,40.72,70.3,0
mumbai,2023-07-01,7,13.06,32.65,52.5,0
mumbai,2023-07-02,7,57.0,31.63,52.8,1
mumbai,2023-07-03,7,14.75,28.89,108.2,0
mumbai,2023-07-04,7,9.0,35.51,37.4,0
mumbai,2023-07-05,7,19.04,30.91,102.0,0
mumbai,2023-07-06,7,29.13,34.21,79.9,0
mumbai,2023-07-07,7,73.41,32.62,38.7,1
mumbai,2023-07-08,7,8.31,33.49,51.3,0
mumbai,2023-07-09,7,32.4,32.39,60.6,0
mumbai,2023-07-10,7,40.52,28.59,75.9,1
mumbai,2023-07-11,7,43.99,35.24,137.1,0
mumbai,2023-07-12,7,4.33,29.44,79.6,0
mumbai,2023-07-13,7,34.85,30.78,47.8,0
mumbai,2023-07-14,7,13.25,29.3,107.2,0
mumbai,2023-07-15,7,4.92,32.99,95.5,0
mumbai,2023-07-16,7,14.15,33.4,108.2,0
mumbai,2023-07-17,7,6.73,37.12,87.1,0
mumbai,2023-07-18,7,65.42,30.59,95.4,1
mumbai,2023-07-19,7,22.87,30.75,144.4,0
mumbai,2023-07-20,7,49.64,30.88,57.4,0
mumbai,2023-07-21,7,57.2,29.36,83.2,1
mumbai,2023-07-22,7,62.16,32.24,106.8,1
mumbai,2023-07-23,7,62.78,31.09,109.0,1
mumbai,2023-07-24,7,28.67,33.64,94.0,0
mumbai,2023-07-25,7,41.62,31.57,88.8,0
mumbai,2023-07-26,7,48.79,33.88,74.5,1
mumbai,2023-07-27,7,7.76,33.0,96.7,0
mumbai,2023-07-28,7,20.19,31.48,94.0,0
mumbai,2023-07-29,7,40.64,28.14,121.0,0
mumbai,2023-07-30,7,7.03,32.16,122.0,0
mumbai,2023-07-31,7,19.51,34.82,117.6,0
mumbai,2023-08-01,8,33.16,31.11,133.6,0
mumbai,2023-08-02,8,73.25,30.95,81.0,1
mumbai,2023-08-03,8,13.05,29.99,67.0,0
mumbai,2023-08-04,8,25.55,32.47,57.9,0
mumbai,2023-08-05,8,42.72,33.97,83.6,0
mumbai,2023-08-06,8,106.79,30.67,95.0,1
mumbai,2023-08-07,8,37.59,28.86,92.2,0
mumbai,2023-08-08,8,17.07,30.8,70.9,0
mumbai,2023-08-09,8,58.61,31.25,54.8,1
mumbai,2023-08-10,8,45.99,34.1,73.4,0
mumbai,2023-08-11,8,41.34,35.1,143.9,1
mumbai,2023-08-12,8,19.55,33.17,98.6,0
mumbai,2023-08-13,8,33.65,30.3,93.1,0
mumbai,2023-08-14,8,4.33,29.49,89.0,0
mumbai,2023-08-15,8,82.26,33.39,58.2,1
mumbai,2023-08-16,8,12.23,34.65,56.0,0
mumbai,2023-08-17,8,5.04,32.93,107.7,0
mumbai,2023-08-18,8,55.86,32.81,111.5,1
mumbai,2023-08-19,8,37.85,33.71,131.5,0
mumbai,2023-08-20,8,41.77,31.26,65.0,0
mumbai,2023-08-21,8,34.48,31.21,83.2,0
mumbai,2023-08-22,8,26.32,32.38,91.4,0
mumbai,2023-08-23,8,7.17,33.49,134.9,0
mumbai,2023-08-24,8,30.84,32.5,137.3,0
mumbai,2023-08-25,8,24.36,32.56,95.3,0
mumbai,2023-08-26,8,35.46,34.15,59.2,0
mumbai,2023-08-27,8,29.05,30.6,75.6,0
mumbai,2023-08-28,8,28.94,30.88,101.3,0
mumbai,2023-08-29,8,72.68,31.87,39.0,1
mumbai,2023-08-30,8,18.82,29.1,24.0,0
mumbai,2023-08-31,8,36.25,31.0,123.7,0
mumbai,2023-09-01,9,35.96,33.3,87.0,0
mumbai,2023-09-02,9,48.31,29.86,116.9,0
mumbai,2023-09-03,9,12.73,32.15,83.1,0
mumbai,2023-09-04,9,28.98,31.31,100.3,0
mumbai,2023-09-05,9,20.96,32.92,108.2,0
mumbai,2023-09-06,9,6.49,32.65,95.9,0
mumbai,2023-09-07,9,24.84,29.94,88.5,0
mumbai,2023-09-08,9,19.79,30.49,88.8,0
mumbai,2023-09-09,9,3.76,28.82,106.9,0
mumbai,2023-09-10,9,8.77,33.99,76.4,0
mumbai,2023-09-11,9,0.79,34.05,57.2,0
mumbai,2023-09-12,9,19.75,32.96,61.0,0
mumbai,2023-09-13,9,14.45,36.8,89.3,0
mumbai,2023-09-14,9,21.96,35.56,96.3,0
mumbai,2023-09-15,9,1.59,31.46,87.4,0
mumbai,2023-09-16,9,13.01,30.54,143.9,0
mumbai,2023-09-17,9,23.75,31.01,76.7,0
mumbai,2023-09-18,9,18.43,30.4,91.8,0
mumbai,2023-09-19,9,8.67,32.79,110.4,0
mumbai,2023-09-20,9,9.22,34.18,129.5,0
mumbai,2023-09-21,9,17.42,32.8,155.5,0
mumbai,2023-09-22,9,11.1,32.41,70.5,0
mumbai,2023-09-23,9,10.05,29.94,74.1,0
mumbai,2023-09-24,9,23.4,34.26,141.8,0
mumbai,2023-09-25,9,20.66,29.74,106.9,0
mumbai,2023-09-26,9,9.89,32.42,82.3,0
mumbai,2023-09-27,9,2.77,33.87,116.2,0
mumbai,2023-09-28,9,2.09,30.2,96.7,0
mumbai,2023-09-29,9,30.75,31.79,143.4,0
mumbai,2023-09-30,9,2.9,30.85,134.3,0
mumbai,2023-10-01,10,5.61,32.8,114.4,0
mumbai,2023-10-02,10,2.86,31.42,151.3,0
mumbai,2023-10-03,10,1.66,27.53,142.1,0
mumbai,2023-10-04,10,0.78,32.64,96.2,0
mumbai,2023-10-05,10,4.94,28.89,126.8,0
mumbai,2023-10-06,10,2.72,33.3,93.2,0
mumbai,2023-10-07,10,1.08,33.04,125.4,0
mumbai,2023-10-08,10,8.16,32.73,174.0,0
mumbai,2023-10-09,10,1.76,32.76,132.9,0
mumbai,2023-10-10,10,2.19,31.74,104.0,0
mumbai,2023-10-11,10,1.93,32.9,162.5,0
mumbai,2023-10-12,10,2.91,27.8,223.1,0
mumbai,2023-10-13,10,1.05,32.81,168.2,0
mumbai,2023-10-14,10,0.88,32.55,115.5,0
mumbai,2023-10-15,10,4.69,31.67,161.1,0
mumbai,2023-10-16,10,3.23,31.94,195.1,0
mumbai,2023-10-17,10,4.38,32.62,168.2,0
mumbai,2023-10-18,10,5.02,29.82,183.9,0
mumbai,2023-10-19,10,1.16,32.59,133.1,0
mumbai,2023-10-20,10,2.87,32.68,178.1,0
mumbai,2023-10-21,10,3.38,32.71,170.7,0
mumbai,2023-10-22,10,0.72,33.44,154.1,0
mumbai,2023-10-23,10,5.33,31.48,129.8,0
mumbai,2023-10-24,10,2.28,29.44,85.7,0
mumbai,2023-10-25,10,1.03,35.11,115.8,0
mumbai,2023-10-26,10,0.64,32.34,114.0,0
mumbai,2023-10-27,10,4.73,35.07,164.5,0
mumbai,2023-10-28,10,1.73,31.09,134.4,0
mumbai,2023-10-29,10,0.78,28.93,165.7,0
mumbai,2023-10-30,10,9.74,33.36,152.3,0
mumbai,2023-10-31,10,1.84,32.78,112.4,0
mumbai,2023-11-01,11,1.8,30.26,150.5,0
mumbai,2023-11-02,11,4.4,30.77,207.5,0
mumbai,2023-11-03,11,0.47,30.79,132.4,0
mumbai,2023-11-04,11,2.02,31.68,183.2,0
mumbai,2023-11-05,11,0.63,32.32,151.9,0
mumbai,2023-11-06,11,5.67,31.85,183.8,0
mumbai,2023-11-07,11,1.58,34.41,191.5,0
mumbai,2023-11-08,11,1.79,32.8,137.9,0
mumbai,2023-11-09,11,6.88,31.45,202.5,0
mumbai,2023-11-10,11,3.82,30.6,171.2,0
mumbai,2023-11-11,11,5.2,32.48,156.5,0
mumbai,2023-11-12,11,8.77,29.52,199.0,0
mumbai,2023-11-13,11,3.05,34.45,228.7,0
mumbai,2023-11-14,11,0.49,32.54,177.4,0
mumbai,2023-11-15,11,3.05,30.46,230.3,0
mumbai,2023-11-16,11,1.42,32.61,164.0,0
mumbai,2023-11-17,11,0.44,33.13,162.5,0
mumbai,2023-11-18,11,0.9,30.83,174.1,0
mumbai,2023-11-19,11,1.17,32.07,187.0,0
mumbai,2023-11-20,11,0.48,32.93,243.5,0
mumbai,2023-11-21,11,0.76,29.53,230.2,0
mumbai,2023-11-22,11,3.06,32.19,159.6,0
mumbai,2023-11-23,11,0.93,33.26,176.7,0
mumbai,2023-11-24,11,1.01,34.63,143.6,0
mumbai,2023-11-25,11,1.44,29.19,216.4,0
mumbai,2023-11-26,11,2.51,30.5,186.8,0
mumbai,2023-11-27,11,1.45,32.72,201.2,0
mumbai,2023-11-28,11,4.36,29.86,153.3,0
mumbai,2023-11-29,11,1.23,31.52,124.9,0
mumbai,2023-11-30,11,3.26,36.31,146.1,0
mumbai,2023-12-01,12,4.04,22.46,227.5,0
mumbai,2023-12-02,12,2.08,23.54,243.0,0
mumbai,2023-12-03,12,1.48,21.93,241.1,0
mumbai,2023-12-04,12,1.02,22.5,230.1,0
mumbai,2023-12-05,12,1.88,22.8,224.2,0
mumbai,2023-12-06,12,4.0,21.1,240.9,0
mumbai,2023-12-07,12,0.09,22.53,206.7,0
mumbai,2023-12-08,12,1.94,23.42,226.6,0
mumbai,2023-12-09,12,0.34,21.11,196.8,0
mumbai,2023-12-10,12,2.01,23.48,186.5,0
mumbai,2023-12-11,12,0.95,23.23,218.6,0
mumbai,2023-12-12,12,5.98,21.27,212.7,0
mumbai,2023-12-13,12,1.67,20.99,213.4,0
mumbai,2023-12-14,12,2.56,19.33,252.4,0
mumbai,2023-12-15,12,3.24,26.98,184.0,0
mumbai,2023-12-16,12,1.88,24.82,215.5,0
mumbai,2023-12-17,12,4.16,23.92,207.7,0
mumbai,2023-12-18,12,0.08,24.13,201.1,0
mumbai,2023-12-19,12,2.45,20.16,224.5,0
mumbai,2023-12-20,12,3.42,18.48,286.8,0
mumbai,2023-12-21,12,0.75,22.32,219.8,0
mumbai,2023-12-22,12,6.75,20.65,156.7,0
mumbai,2023-12-23,12,2.78,22.81,204.9,0
mumbai,2023-12-24,12,4.59,19.2,212.8,0
mumbai,2023-12-25,12,2.1,24.24,247.3,0
mumbai,2023-12-26,12,2.81,21.12,230.1,0
mumbai,2023-12-27,12,0.75,22.53,285.4,0
mumbai,2023-12-28,12,2.5,22.87,211.4,0
mumbai,2023-12-29,12,1.12,25.0,261.0,0
mumbai,2023-12-30,12,1.29,21.5,211.9,0
mumbai,2023-12-31,12,2.78,20.98,254.9,0
mumbai,2024-01-01,1,1.17,18.29,236.9,0
mumbai,2024-01-02,1,2.78,18.95,265.7,0
mumbai,2024-01-03,1,8.53,23.71,306.0,0
mumbai,2024-01-04,1,3.82,21.99,241.1,0
mumbai,2024-01-05,1,1.08,19.61,213.6,0
mumbai,2024-01-06,1,0.38,16.9,245.4,0
mumbai,2024-01-07,1,1.8,18.12,279.4,0
mumbai,2024-01-08,1,2.82,21.33,247.0,0
mumbai,2024-01-09,1,2.78,23.23,247.8,0
mumbai,2024-01-10,1,4.18,22.27,257.4,0
mumbai,2024-01-11,1,2.09,20.63,236.1,0
mumbai,2024-01-12,1,3.43,21.79,273.7,0
mumbai,2024-01-13,1,9.11,22.95,269.0,0
mumbai,2024-01-14,1,0.36,21.46,279.0,0
mumbai,2024-01-15,1,1.33,21.76,245.7,0
mumbai,2024-01-16,1,1.07,21.32,210.0,0
mumbai,2024-01-17,1,3.75,23.69,287.9,0
mumbai,2024-01-18,1,1.35,17.9,218.8,0
mumbai,2024-01-19,1,1.55,19.16,303.8,0
mumbai,2024-01-20,1,1.62,17.4,295.7,0
mumbai,2024-01-21,1,6.64,19.3,206.2,0
mumbai,2024-01-22,1,5.25,21.16,226.9,0
mumbai,2024-01-23,1,8.74,20.21,298.3,0
mumbai,2024-01-24,1,7.87,24.06,280.7,0
mumbai,2024-01-25,1,1.33,22.46,227.5,0
mumbai,2024-01-26,1,2.24,23.03,232.5,0
mumbai,2024-01-27,1,4.34,22.16,217.7,0
mumbai,2024-01-28,1,1.93,19.11,247.9,0
mumbai,2024-01-29,1,3.19,18.07,221.3,0
mumbai,2024-01-30,1,7.28,20.1,259.8,0
mumbai,2024-01-31,1,4.9,20.19,308.5,0
mumbai,2024-02-01,2,6.15,20.22,54.8,0
mumbai,2024-02-02,2,1.45,24.58,99.7,0
mumbai,2024-02-03,2,2.0,25.11,84.2,0
mumbai,2024-02-04,2,1.67,23.84,54.9,0
mumbai,2024-02-05,2,0.04,23.45,78.6,0
mumbai,2024-02-06,2,1.98,23.75,57.1,0
mumbai,2024-02-07,2,3.01,21.89,87.0,0
mumbai,2024-02-08,2,1.91,23.75,83.4,0
mumbai,2024-02-09,2,1.08,21.19,134.8,0
mumbai,2024-02-10,2,1.81,21.99,89.6,0
mumbai,2024-02-11,2,2.43,20.78,112.1,0
mumbai,2024-02-12,2,1.79,23.53,92.6,0
mumbai,2024-02-13,2,3.71,23.23,43.1,0
mumbai,2024-02-14,2,1.45,20.82,107.0,0
mumbai,2024-02-15,2,0.63,27.87,41.5,0
mumbai,2024-02-16,2,4.95,22.19,73.7,0
mumbai,2024-02-17,2,3.54,22.14,59.5,0
mumbai,2024-02-18,2,2.36,22.45,94.6,0
mumbai,2024-02-19,2,2.98,26.66,57.8,0
mumbai,2024-02-20,2,0.03,22.14,150.3,0
mumbai,2024-02-21,2,6.96,20.97,90.6,0
mumbai,2024-02-22,2,1.2,21.75,88.2,0
mumbai,2024-02-23,2,1.32,24.24,75.5,0
mumbai,2024-02-24,2,0.96,20.15,92.8,0
mumbai,2024-02-25,2,1.68,24.06,116.5,0
mumbai,2024-02-26,2,2.12,21.09,89.8,0
mumbai,2024-02-27,2,4.59,24.05,93.4,0
mumbai,2024-02-28,2,0.56,23.77,131.1,0
mumbai,2024-02-29,2,5.02,24.11,92.0,0
mumbai,2024-03-01,3,4.09,33.97,109.7,0
mumbai,2024-03-02,3,4.04,31.14,80.0,0
mumbai,2024-03-03,3,1.62,32.6,112.8,0
mumbai,2024-03-04,3,1.92,29.67,90.7,0
mumbai,2024-03-05,3,5.72,32.53,88.6,0
mumbai,2024-03-06,3,4.9,34.86,84.4,0
mumbai,2024-03-07,3,4.44,32.07,82.0,0
mumbai,2024-03-08,3,7.04,32.45,95.8,0
mumbai,2024-03-09,3,1.69,32.54,99.1,0
mumbai,2024-03-10,3,7.1,32.7,129.5,0
mumbai,2024-03-11,3,2.05,31.82,22.8,0
mumbai,2024-03-12,3,1.49,33.99,115.2,0
mumbai,2024-03-13,3,3.34,30.87,77.7,0
mumbai,2024-03-14,3,1.28,27.94,126.5,0
mumbai,2024-03-15,3,6.08,31.79,126.8,0
mumbai,2024-03-16,3,2.32,32.27,54.6,0
mumbai,2024-03-17,3,5.02,31.2,105.7,0
mumbai,2024-03-18,3,1.47,33.56,93.8,0
mumbai,2024-03-19,3,7.6,34.06,50.5,0
mumbai,2024-03-20,3,3.76,33.33,102.3,0
mumbai,2024-03-21,3,1.86,30.07,94.5,0
mumbai,2024-03-22,3,0.39,27.45,24.8,0
mumbai,2024-03-23,3,4.07,31.62,61.7,0
mumbai,2024-03-24,3,1.89,32.84,105.4,0
mumbai,2024-03-25,3,1.83,33.78,74.2,0
mumbai,2024-03-26,3,3.61,31.23,101.0,0
mumbai,2024-03-27,3,7.21,28.23,81.1,0
mumbai,2024-03-28,3,0.45,33.56,118.5,0
mumbai,2024-03-29,3,6.74,33.47,70.5,0
mumbai,2024-03-30,3,2.4,31.07,92.1,0
mumbai,2024-03-31,3,4.94,32.7,124.9,0
mumbai,2024-04-01,4,2.74,39.68,95.7,0
mumbai,2024-04-02,4,4.48,34.78,69.4,0
mumbai,2024-04-03,4,5.92,37.7,85.9,0
mumbai,2024-04-04,4,4.35,40.84,142.5,0
mumbai,2024-04-05,4,0.9,39.97,82.6,0
mumbai,2024-04-06,4,1.08,39.25,94.3,0
mumbai,2024-04-07,4,5.94,39.62,71.3,0
mumbai,2024-04-08,4,2.61,37.52,23.8,0
mumbai,2024-04-09,4,1.89,34.26,44.9,0
mumbai,2024-04-10,4,3.85,37.99,90.2,0
mumbai,2024-04-11,4,4.72,37.24,33.7,0
mumbai,2024-04-12,4,2.46,36.84,84.2,0
mumbai,2024-04-13,4,1.03,38.94,122.3,0
mumbai,2024-04-14,4,2.29,37.6,70.4,0
mumbai,2024-04-15,4,0.6,34.68,98.0,0
mumbai,2024-04-16,4,3.26,40.24,73.7,0
mumbai,2024-04-17,4,2.51,37.17,81.9,0
mumbai,2024-04-18,4,1.03,36.62,80.8,0
mumbai,2024-04-19,4,6.08,37.42,83.3,0
mumbai,2024-04-20,4,1.3,40.85,124.7,0
mumbai,2024-04-21,4,4.99,34.93,111.2,0
mumbai,2024-04-22,4,2.68,39.16,109.1,0
mumbai,2024-04-23,4,2.35,36.91,89.0,0
mumbai,2024-04-24,4,1.91,43.76,75.4,1
mumbai,2024-04-25,4,0.27,39.87,119.1,0
mumbai,2024-04-26,4,3.08,42.08,67.6,1
mumbai,2024-04-27,4,0.97,36.21,131.8,0
mumbai,2024-04-28,4,1.84,34.76,69.2,0
mumbai,2024-04-29,4,0.33,40.74,121.0,0
mumbai,2024-04-30,4,4.84,37.89,53.6,0
mumbai,2024-05-01,5,0.95,42.34,129.3,1
mumbai,2024-05-02,5,5.66,42.9,68.6,1
mumbai,2024-05-03,5,4.79,40.83,53.0,0
mumbai,2024-05-04,5,1.37,46.98,76.1,1
mumbai,2024-05-05,5,2.17,40.91,106.4,0
mumbai,2024-05-06,5,2.26,41.0,79.1,0
mumbai,2024-05-07,5,0.34,42.49,110.9,1
mumbai,2024-05-08,5,1.72,40.12,45.4,0
mumbai,2024-05-09,5,3.3,39.12,142.0,0
mumbai,2024-05-10,5,8.81,42.76,126.8,1
mumbai,2024-05-11,5,0.86,41.45,85.0,0
