policy_age_hours,claims_7d,claims_30d,gps_distance_km,account_age_days,city_match,prior_fraud_flags,claim_velocity_zscore,hour_of_day,day_of_week,income_anomaly_score,simultaneous_claims_city,is_fraud
87.93,2,5,2.15,164,1,0,0.744,17,1,0.274,0,0
31.29,1,4,4.84,94,1,0,-0.153,13,5,0.035,2,0
44.71,2,6,3.92,172,1,0,0.743,6,0,0.262,1,0
103.47,2,2,3.73,36,1,0,-0.824,17,5,0.036,2,0
156.99,1,5,3.82,54,1,0,-0.023,13,2,0.282,0,0
1.23,5,7,97.02,3,0,3,4.745,14,0,0.241,0,1
135.89,2,5,4.6,255,1,0,-0.676,11,5,0.114,0,0
72.76,0,1,4.76,271,0,0,-0.083,9,2,0.263,2,0
0.14,4,4,99.01,11,0,1,5.232,18,4,0.458,0,1
1.86,6,7,145.4,7,0,2,4.235,13,0,0.872,0,1
56.43,2,5,7.91,200,1,0,0.745,12,0,0.078,0,0
42.06,1,5,5.77,287,1,0,1.267,18,2,0.171,0,0
0.32,7,11,128.62,12,0,3,2.677,6,6,0.637,0,1
115.14,1,1,9.93,54,1,0,-0.021,6,1,0.229,2,0
135.81,0,3,1.17,264,1,0,1.266,11,2,0.131,2,0
91.25,2,4,3.23,328,1,0,0.467,19,0,0.178,0,0
137.63,2,5,4.3,172,1,0,0.593,13,5,0.042,1,0
54.77,0,2,8.87,348,1,0,-0.313,11,3,0.242,1,0
103.38,0,3,1.18,226,1,0,-0.021,6,5,0.284,0,0
64.2,0,1,8.03,82,0,0,0.382,10,3,0.051,1,0
0.41,6,7,41.1,0,0,1,4.051,20,6,0.681,0,1
93.22,2,3,6.71,50,1,0,0.516,16,4,0.003,0,0
122.14,1,2,7.81,115,1,0,1.219,7,3,0.211,1,0
95.63,0,0,9.96,148,1,0,0.011,19,6,0.117,1,0
95.67,2,5,0.07,84,1,0,0.896,13,6,0.007,0,0
87.19,2,3,4.53,199,1,0,-0.173,8,1,0.245,1,0
1.76,7,11,137.51,0,1,4,4.699,13,3,0.526,0,1
163.01,1,3,9.5,266,1,0,0.809,7,1,0.252,0,0
23.79,0,2,3.5,121,1,0,0.005,13,3,0.253,2,0
68.88,2,6,0.82,285,0,0,0.604,8,3,0.246,0,0
3.98,0,1,6.12,296,1,0,0.412,11,4,0.041,1,0
162.34,0,4,8.55,175,1,0,-0.855,7,6,0.214,0,0
44.44,0,3,1.61,21,1,0,-0.501,17,4,0.206,2,0
35.93,0,2,3.4,138,1,0,0.814,20,2,0.098,0,0
59.24,2,5,9.97,195,1,0,-0.138,21,3,0.06,2,0
81.49,0,0,5.16,318,1,0,1.24,6,5,0.158,0,0
137.34,0,3,0.06,242,1,0,0.744,15,2,0.1,1,0
1.35,4,8,77.53,9,0,4,5.728,13,5,0.648,0,1
100.91,1,2,0.6,363,1,0,0.536,20,3,0.166,1,0
121.06,1,1,1.41,263,1,0,1.162,7,5,0.287,2,0
123.59,1,1,1.1,147,1,0,-0.947,17,4,0.202,2,0
4.46,2,5,1.7,150,1,0,0.431,8,5,0.114,0,0
53.09,0,3,7.36,231,1,0,0.477,12,1,0.148,2,0
1.8,5,5,133.92,3,0,4,2.94,14,4,0.353,0,1
54.68,1,5,9.26,212,1,0,-0.297,7,2,0.167,1,0
61.63,2,2,6.78,309,1,0,0.028,12,1,0.084,0,0
162.43,1,2,7.05,242,1,0,-0.314,6,1,0.152,1,0
47.29,2,3,2.07,348,1,0,1.033,6,6,0.145,1,0
45.72,0,3,3.71,242,1,0,-0.127,6,5,0.061,0,0
160.58,1,2,7.01,219,1,0,0.116,12,1,0.131,1,0
72.48,1,2,3.84,105,1,0,-0.916,10,3,0.057,1,0
83.5,0,1,4.66,302,0,0,0.133,9,1,0.037,2,0
114.03,1,3,4.8,26,1,0,1.186,13,1,0.086,1,0
43.53,0,1,0.63,325,1,0,-0.344,9,2,0.159,0,0
86.19,1,1,0.67,113,1,0,1.244,9,1,0.061,1,0
104.42,2,6,7.65,349,1,0,-0.115,15,5,0.201,1,0
50.94,1,4,0.9,308,1,0,-0.664,16,5,0.077,1,0
41.11,2,2,0.47,279,1,0,-0.195,20,2,0.181,2,0
122.8,0,1,9.96,274,1,0,0.12,12,4,0.146,2,0
61.34,2,5,7.0,258,1,0,1.292,8,4,0.052,2,0
120.45,1,4,1.68,190,1,0,0.203,21,3,0.063,0,0
45.17,1,3,3.44,143,0,0,-0.543,14,0,0.298,2,0
37.36,1,4,4.16,287,0,0,-0.454,13,6,0.17,0,0
1.43,6,9,63.62,1,1,2,5.306,17,6,0.881,0,1
167.61,2,6,0.49,18,1,0,1.122,18,6,0.235,2,0
12.07,0,3,3.89,156,1,0,-0.697,15,1,0.264,2,0
71.07,1,4,9.19,338,1,0,-0.054,19,5,0.07,2,0
86.85,2,5,9.28,138,0,0,-0.951,13,4,0.233,1,0
104.62,0,0,7.94,153,1,0,-0.276,11,0,0.064,0,0
40.84,0,3,1.46,92,1,0,1.344,10,1,0.185,0,0
4.83,2,4,1.9,7,1,0,0.514,21,2,0.173,1,0
70.93,1,1,6.33,328,1,0,-0.842,7,2,0.258,2,0
87.35,1,1,2.18,287,1,0,0.525,19,0,0.161,1,0
25.6,0,2,8.82,207,1,0,0.78,13,2,0.214,2,0
133.11,0,1,2.45,189,1,0,-0.945,16,5,0.063,0,0
137.54,1,1,2.06,271,1,0,0.261,15,0,0.127,0,0
86.73,2,3,3.47,312,1,0,0.448,21,2,0.141,0,0
43.92,1,2,8.93,92,0,0,-0.49,10,3,0.27,0,0
1.55,7,7,58.37,11,0,3,4.931,6,1,0.07,0,1
0.74,4,6,134.54,10,0,3,4.511,19,0,0.176,0,1
154.97,2,2,0.13,160,1,0,0.097,18,6,0.227,2,0
126.9,0,1,9.64,331,1,0,-0.605,8,6,0.193,1,0
166.33,2,4,1.28,133,1,0,-0.53,11,5,0.193,0,0
2.5,1,3,1.51,309,1,0,0.068,6,5,0.252,2,0
0.28,6,9,49.69,11,0,3,3.125,14,5,0.691,0,1
1.79,6,9,126.66,12,0,4,4.271,21,2,0.097,0,1
85.63,0,1,5.74,317,1,0,0.122,8,4,0.294,1,0
46.87,1,5,3.83,364,1,0,0.61,10,1,0.128,1,0
1.18,7,9,77.88,12,1,3,5.147,17,6,0.851,0,1
151.35,1,1,3.69,8,1,0,-0.348,15,2,0.228,1,0
7.14,1,1,2.46,110,1,0,-0.547,6,6,0.071,1,0
91.17,2,6,5.35,45,1,0,1.265,18,1,0.099,2,0
11.89,1,2,5.35,250,1,0,-0.328,11,1,0.021,1,0
59.25,0,1,9.88,304,0,0,1.348,15,2,0.072,0,0
120.07,1,4,2.4,139,1,0,-0.623,11,4,0.107,2,0
148.58,0,2,2.0,191,1,0,0.14,11,0,0.204,2,0
124.11,0,2,4.43,149,1,0,-0.689,13,4,0.032,2,0
81.62,0,4,0.62,159,1,0,-0.254,12,6,0.107,0,0
122.68,1,5,0.84,119,1,0,1.257,8,6,0.061,2,0
72.46,2,2,4.11,149,1,0,0.335,20,6,0.068,1,0
100.67,2,5,2.49,230,1,0,1.145,17,3,0.226,2,0
115.89,2,3,4.41,45,1,0,1.03,21,5,0.244,0,0
91.93,0,2,9.0,93,1,0,-0.362,13,4,0.133,2,0
38.53,1,2,5.75,343,1,0,-0.941,6,4,0.252,1,0
58.66,1,2,8.4,108,1,0,0.673,9,5,0.037,2,0
114.87,1,4,9.4,81,1,0,0.38,8,4,0.137,0,0
156.51,2,3,8.77,300,1,0,-0.152,20,2,0.011,0,0
62.48,2,6,9.3,218,1,0,1.378,7,0,0.271,0,0
80.37,0,3,5.26,164,1,0,0.28,9,1,0.108,2,0
156.3,1,5,3.58,78,1,0,1.495,6,1,0.167,1,0
71.69,1,3,0.85,48,1,0,1.377,19,1,0.045,0,0
156.25,0,4,4.57,17,1,0,0.443,10,3,0.117,1,0
107.92,1,4,4.13,304,1,0,0.959,7,4,0.264,2,0
12.89,2,4,8.14,197,1,0,0.112,8,3,0.236,0,0
69.98,1,4,0.76,39,1,0,-0.701,19,3,0.286,1,0
84.17,1,2,0.45,244,1,0,0.123,19,3,0.27,2,0
37.09,1,2,4.51,51,1,0,0.269,18,2,0.022,0,0
1.75,5,5,140.02,8,0,1,4.851,11,0,0.455,0,1
56.43,1,4,8.17,113,1,0,-0.299,13,2,0.174,1,0
76.29,2,3,1.95,26,1,0,-0.051,16,6,0.17,2,0
0.15,4,8,130.96,1,0,4,3.49,14,6,0.549,0,1
107.78,1,1,5.32,300,1,0,-0.56,9,4,0.003,1,0
99.31,2,2,7.83,121,0,0,-0.304,14,1,0.235,1,0
111.65,0,3,3.36,327,1,0,0.479,10,1,0.065,0,0
30.16,0,1,7.88,107,1,0,-0.481,11,3,0.077,0,0
124.25,0,2,9.48,172,1,0,0.909,21,2,0.068,0,0
164.86,1,1,1.44,249,1,0,-0.003,13,3,0.17,0,0
27.07,1,5,1.78,241,1,0,0.867,13,6,0.276,1,0
37.47,1,2,9.0,149,1,0,0.282,21,1,0.14,1,0
43.36,2,5,4.98,328,1,0,1.122,16,1,0.26,2,0
60.66,1,5,1.82,118,1,0,-0.509,15,3,0.009,1,0
112.67,2,4,4.18,242,0,0,0.426,14,3,0.027,1,0
126.83,1,2,8.05,346,1,0,0.666,9,6,0.265,0,0
57.43,2,5,0.34,315,1,0,1.127,20,6,0.066,1,0
10.79,1,5,7.37,335,1,0,-0.009,6,0,0.192,2,0
52.63,0,1,0.82,94,1,0,-0.342,8,0,0.217,1,0
38.77,1,5,8.05,269,1,0,0.384,9,5,0.138,2,0
122.86,1,2,3.42,184,1,0,0.729,20,5,0.125,2,0
118.57,2,2,6.09,321,1,0,-0.257,18,3,0.136,1,0
10.6,2,2,4.44,253,1,0,1.13,6,3,0.04,0,0
120.19,2,3,8.04,202,1,0,-0.859,15,2,0.136,2,0
62.46,2,5,5.68,86,1,0,0.293,9,4,0.222,0,0
52.26,2,5,2.4,79,1,0,0.557,15,2,0.135,2,0
89.17,0,3,9.67,302,1,0,-0.35,12,3,0.245,1,0
166.39,0,3,4.45,238,1,0,1.17,12,5,0.165,0,0
111.72,0,1,1.53,265,1,0,-0.065,6,5,0.002,0,0
100.44,1,4,7.0,72,1,0,0.53,8,2,0.086,2,0
120.03,2,6,5.88,58,1,0,0.63,20,5,0.092,1,0
40.9,0,3,1.41,283,1,0,0.339,21,5,0.287,1,0
40.99,1,4,0.33,301,1,0,0.945,18,5,0.11,0,0
34.71,2,6,1.65,209,1,0,-0.591,8,4,0.167,2,0
93.5,1,1,5.61,64,0,0,-0.246,21,5,0.063,2,0
158.26,0,1,9.78,258,1,0,0.224,17,1,0.246,2,0
165.83,0,1,0.82,92,1,0,0.078,11,4,0.144,1,0
61.44,1,5,1.73,28,1,0,-0.703,19,2,0.263,0,0
17.94,0,1,5.21,25,1,0,0.301,19,2,0.066,0,0
64.96,1,2,5.53,356,1,0,-0.522,11,1,0.039,0,0
155.69,0,1,0.96,288,1,0,0.701,7,4,0.171,1,0
59.68,2,3,7.72,111,1,0,-0.909,11,6,0.245,0,0
160.72,1,5,5.32,141,1,0,-0.836,15,1,0.167,0,0
19.26,1,4,7.47,252,1,0,0.658,12,2,0.014,1,0
27.43,2,4,5.91,97,1,0,1.409,6,3,0.176,1,0
96.21,2,4,5.59,340,1,0,0.143,13,4,0.259,0,0
1.68,7,7,51.01,2,1,4,4.692,11,4,0.016,0,1
0.57,6,10,91.12,7,0,1,4.906,19,2,0.173,0,1
152.28,1,5,5.56,112,1,0,0.874,18,2,0.244,2,0
141.62,1,2,0.0,61,1,0,-0.174,16,2,0.115,2,0
1.86,6,9,67.45,8,0,1,5.541,19,1,0.152,0,1
66.66,0,1,1.32,277,1,0,-0.38,7,2,0.184,0,0
85.05,1,3,8.75,218,1,0,0.618,12,0,0.293,0,0
61.58,0,0,2.38,311,1,0,-0.016,7,6,0.14,0,0
0.74,4,7,116.85,8,0,3,5.464,19,5,0.582,0,1
0.56,6,6,104.95,0,0,1,3.358,17,6,0.987,0,1
47.71,1,4,5.64,136,1,0,-0.434,7,1,0.225,1,0
0.67,4,6,83.01,9,0,2,5.348,15,1,0.726,0,1
87.27,0,3,0.34,262,1,0,-0.636,6,2,0.183,2,0
155.5,0,2,2.6,264,1,0,0.107,17,1,0.085,2,0
76.21,2,6,8.28,229,1,0,1.151,17,6,0.186,2,0
1.96,6,6,103.46,2,1,1,5.604,15,4,0.284,0,1
93.82,0,1,0.89,53,1,0,-0.479,8,6,0.227,2,0
2.07,0,3,1.56,308,1,0,0.746,21,4,0.021,1,0
4.02,0,1,5.01,46,1,0,0.307,9,0,0.008,2,0
73.76,0,1,7.83,228,1,0,0.145,8,5,0.214,0,0
164.95,0,2,9.68,243,1,0,0.755,11,4,0.073,1,0
23.53,2,3,4.73,293,1,0,-0.808,15,1,0.234,1,0
0.37,4,8,31.55,2,0,2,2.613,12,5,0.592,0,1
102.1,0,3,7.27,269,1,0,1.1,10,3,0.294,2,0
51.82,2,4,8.55,82,1,0,0.966,15,0,0.288,1,0
121.33,0,3,1.84,198,1,0,1.023,17,1,0.219,0,0
96.02,2,2,6.64,105,1,0,0.667,10,0,0.218,2,0
125.98,2,4,0.51,85,1,0,-0.355,18,5,0.212,2,0
59.61,1,5,8.91,194,1,0,1.234,9,5,0.202,2,0
45.96,2,5,4.83,18,0,0,-0.172,16,0,0.026,2,0
23.02,2,4,0.26,153,1,0,-0.674,20,4,0.023,0,0
35.73,2,5,2.54,131,1,0,0.874,6,6,0.24,0,0
19.12,0,3,0.69,195,1,0,0.898,17,3,0.162,0,0
124.62,1,3,2.93,221,1,0,1.071,16,4,0.015,0,0
42.56,1,1,8.04,231,1,0,-0.994,18,6,0.242,2,0
138.09,2,2,3.96,172,1,0,1.344,16,3,0.257,0,0
48.62,0,1,3.11,129,1,0,0.288,8,6,0.063,1,0
94.62,1,2,6.58,94,1,0,0.455,11,6,0.164,1,0
1.67,7,7,45.24,5,0,2,5.037,21,5,0.181,0,1
121.89,1,4,7.71,260,1,0,1.012,14,1,0.21,1,0
80.11,1,4,3.47,348,1,0,0.636,16,4,0.046,0,0
167.13,1,1,7.08,282,1,0,0.252,11,6,0.223,0,0
85.18,0,0,1.14,87,1,0,0.866,14,2,0.241,2,0
131.07,0,1,5.71,320,1,0,-0.28,18,4,0.181,2,0
99.45,2,6,1.02,214,1,0,-0.34,13,1,0.155,2,0
114.91,2,6,2.58,242,1,0,-0.073,13,3,0.039,2,0
96.61,2,5,4.76,190,1,0,-0.2,20,4,0.085,2,0
70.29,0,1,1.65,137,1,0,1.486,8,5,0.064,1,0
164.09,0,2,6.63,324,0,0,-0.588,8,2,0.224,0,0
5.78,0,0,6.17,76,1,0,0.783,19,6,0.1,2,0
0.47,4,4,52.3,5,0,1,4.087,11,0,0.808,0,1
63.94,2,6,4.55,192,1,0,0.785,15,6,0.265,1,0
24.19,0,4,4.87,42,1,0,1.345,16,2,0.238,2,0
33.86,0,0,9.31,222,1,0,-0.81,16,5,0.208,2,0
108.27,1,5,3.97,228,1,0,0.351,7,1,0.244,2,0
2.19,1,2,0.66,9,1,0,0.176,7,5,0.069,1,0
73.48,2,2,9.34,334,1,0,0.817,12,4,0.182,0,0
94.38,0,3,8.69,11,1,0,0.32,10,4,0.204,0,0
73.19,2,3,5.89,209,1,0,-0.475,19,0,0.047,0,0
27.87,1,2,9.05,147,1,0,0.338,10,4,0.18,0,0
56.51,0,2,8.52,89,1,0,0.259,15,0,0.001,2,0
143.25,2,5,4.11,83,1,0,0.929,13,1,0.255,1,0
64.29,2,6,5.34,215,1,0,1.39,8,6,0.136,0,0
74.04,1,5,7.91,64,1,0,0.674,11,3,0.3,0,0
139.51,2,2,9.73,77,1,0,0.394,19,3,0.066,1,0
40.32,0,4,5.73,123,1,0,-0.893,12,6,0.176,0,0
9.61,0,1,0.14,195,1,0,-0.018,18,6,0.15,1,0
109.85,0,1,1.07,222,1,0,-0.514,19,0,0.01,0,0
27.28,0,4,7.35,121,1,0,1.336,17,1,0.151,1,0
29.68,1,2,0.64,249,1,0,0.208,11,0,0.111,1,0
136.95,0,3,2.18,288,1,0,1.252,16,5,0.237,2,0
11.47,2,5,7.27,336,1,0,1.302,17,5,0.023,1,0
48.72,2,6,7.98,83,1,0,-0.344,13,4,0.288,0,0
10.27,1,3,3.03,85,1,0,1.035,14,3,0.142,0,0
32.97,1,2,6.38,233,1,0,-0.53,13,4,0.091,0,0
35.25,1,4,8.32,173,1,0,0.561,9,5,0.067,2,0
114.92,2,2,1.41,180,1,0,1.403,21,3,0.147,0,0
64.42,0,4,6.76,115,1,0,1.344,11,6,0.211,0,0
43.51,2,2,9.04,64,1,0,-0.162,19,2,0.25,1,0
46.53,2,6,8.14,316,1,0,-0.052,7,1,0.091,0,0
76.87,2,4,7.91,344,1,0,-0.136,17,2,0.168,0,0
9.87,0,1,5.15,243,1,0,-0.638,15,4,0.137,2,0
24.12,0,0,1.22,139,1,0,-0.206,12,5,0.032,0,0
44.05,1,5,9.08,31,1,0,0.681,17,4,0.172,0,0
119.45,2,6,0.4,347,1,0,-0.664,20,0,0.245,1,0
21.84,2,5,7.03,140,1,0,0.051,8,4,0.023,0,0
165.12,0,3,7.19,196,1,0,-0.444,11,0,0.163,1,0
1.98,4,5,85.18,7,1,3,2.525,15,4,0.873,0,1
22.35,2,3,1.32,23,1,0,-0.159,18,0,0.165,0,0
75.29,1,4,6.19,341,1,0,-0.551,9,3,0.156,0,0
128.48,1,1,7.34,99,1,0,0.635,17,1,0.195,2,0
19.06,0,2,0.5,306,1,0,-0.927,21,0,0.254,2,0
1.05,4,5,141.04,2,0,1,5.058,19,5,0.599,0,1
87.73,2,4,2.16,234,1,0,0.015,12,2,0.157,1,0
1.05,4,5,132.55,8,0,4,3.715,15,4,0.85,0,1
1.77,4,8,90.39,4,0,4,5.121,8,6,0.858,0,1
38.38,0,2,1.17,66,1,0,1.129,11,6,0.247,0,0
107.16,2,3,6.46,213,1,0,-0.036,7,2,0.201,0,0
14.05,2,2,3.03,61,1,0,1.078,21,6,0.266,1,0
85.26,2,2,3.42,345,1,0,1.497,9,4,0.286,2,0
71.94,1,3,2.04,280,1,0,-0.79,19,5,0.188,2,0
102.32,2,6,8.31,24,1,0,0.892,13,5,0.094,0,0
143.72,2,6,9.86,24,1,0,0.909,14,5,0.247,1,0
155.47,2,6,8.87,144,1,0,-0.579,11,5,0.259,2,0
34.76,1,2,0.8,337,1,0,1.01,10,0,0.235,1,0
89.11,2,4,9.45,19,1,0,0.558,8,1,0.291,1,0
48.49,2,6,9.96,361,1,0,1.251,14,5,0.122,1,0
132.79,1,5,0.9,13,1,0,0.526,20,4,0.108,1,0
13.88,1,1,5.97,109,1,0,0.168,9,5,0.011,0,0
1.25,6,10,22.74,2,0,3,3.54,13,2,0.357,0,1
127.15,2,3,6.73,193,1,0,0.659,14,0,0.05,2,0
120.2,1,2,7.49,73,1,0,-0.735,13,3,0.202,0,0
40.11,1,1,0.66,210,1,0,0.032,6,4,0.171,2,0
68.28,0,4,2.75,114,1,0,0.701,7,0,0.252,0,0
92.99,0,1,2.17,161,1,0,0.443,15,4,0.098,0,0
0.57,6,7,54.8,6,0,4,3.23,10,4,0.468,0,1
84.76,2,4,2.96,208,1,0,0.322,10,6,0.065,1,0
1.04,7,10,73.85,13,1,3,3.812,20,3,0.32,0,1
124.02,0,0,9.08,240,1,0,1.436,12,0,0.19,2,0
77.34,0,2,8.75,134,0,0,1.097,14,2,0.179,1,0
123.17,2,5,6.19,98,1,0,-0.268,6,6,0.036,1,0
23.35,1,2,1.65,180,1,0,1.36,20,2,0.256,1,0
87.65,2,2,4.47,45,1,0,-0.327,6,0,0.289,2,0
157.69,1,3,9.25,66,1,0,1.148,6,0,0.268,1,0
54.91,0,0,9.79,279,1,0,-0.404,14,1,0.241,1,0
3.71,2,2,0.9,45,1,0,-0.159,21,3,0.168,0,0
109.73,0,2,1.98,241,1,0,-0.857,16,2,0.111,2,0
0.42,5,7,81.52,8,0,3,5.869,10,5,0.298,0,1
46.91,1,5,7.4,187,1,0,0.262,19,0,0.011,2,0
59.73,2,2,6.02,163,1,0,-0.623,11,6,0.05,0,0
13.25,0,3,2.76,24,1,0,0.909,15,2,0.13,2,0
22.68,1,1,1.57,245,1,0,-0.557,18,6,0.109,0,0
123.77,2,5,3.35,190,1,0,1.342,12,0,0.279,1,0
162.72,1,5,2.55,238,1,0,0.765,20,5,0.171,2,0
89.19,2,5,2.34,174,1,0,0.235,8,6,0.177,1,0
135.19,0,4,4.45,270,1,0,0.519,11,2,0.206,1,0
109.82,0,3,4.21,122,1,0,0.915,15,6,0.171,1,0
1.03,5,5,63.71,7,1,1,5.132,17,2,0.28,0,1
64.69,1,2,3.69,189,1,0,-0.473,16,1,0.103,0,0
79.97,0,3,2.48,338,1,0,0.016,8,1,0.274,0,0
133.9,0,3,4.57,197,1,0,-0.686,16,0,0.163,2,0
3.57,2,4,1.92,96,1,0,0.952,7,4,0.025,0,0
77.79,0,0,7.64,105,1,0,-0.959,6,0,0.156,0,0
7.37,0,3,0.83,35,1,0,-0.22,14,2,0.067,1,0
79.38,1,2,6.83,80,1,0,1.022,6,4,0.012,1,0
28.76,1,3,0.95,301,0,0,-0.368,6,3,0.017,2,0
162.74,1,5,8.13,276,1,0,0.839,8,6,0.133,0,0
73.63,2,6,7.19,48,1,0,1.4,13,5,0.03,1,0
1.3,4,5,27.43,8,0,3,4.489,20,3,0.707,0,1
129.31,1,1,4.05,70,1,0,-0.613,14,6,0.287,2,0
156.16,2,5,2.02,114,1,0,1.225,6,3,0.123,1,0
1.74,5,8,57.64,1,0,4,4.292,8,2,0.524,0,1
32.18,2,2,3.43,84,1,0,1.038,17,5,0.003,0,0
113.79,1,1,2.72,184,1,0,-0.34,20,3,0.167,0,0
0.56,6,6,123.7,9,1,1,5.89,6,1,0.215,0,1
3.03,2,2,3.04,271,1,0,0.208,11,1,0.093,2,0
8.9,0,1,5.69,19,1,0,-0.716,11,0,0.211,1,0
114.56,2,5,6.69,177,1,0,-0.472,19,2,0.089,0,0
84.17,0,0,2.13,82,1,0,1.01,18,3,0.069,1,0
112.08,0,0,8.92,204,1,0,-0.022,21,6,0.077,2,0
128.81,0,3,3.18,330,1,0,-0.905,17,5,0.139,2,0
166.14,0,1,9.81,96,1,0,-0.488,15,6,0.013,0,0
0.93,7,9,81.02,3,0,3,4.368,20,2,0.553,0,1
8.12,2,2,7.74,212,0,0,-0.862,17,5,0.252,2,0
30.02,2,5,1.24,301,1,0,-0.693,19,5,0.293,1,0
0.81,7,10,131.75,13,0,4,4.775,20,1,0.646,0,1
111.61,0,2,5.33,41,1,0,-0.651,10,1,0.286,1,0
65.78,0,1,5.05,98,1,0,-0.033,19,4,0.183,1,0
140.19,2,3,5.45,55,1,0,1.35,21,2,0.131,1,0
1.49,6,9,56.6,0,0,4,4.887,13,3,0.54,0,1
137.0,0,3,3.73,83,1,0,1.211,14,0,0.035,1,0
25.33,1,5,0.79,234,1,0,0.758,12,2,0.255,1,0
123.86,0,0,6.19,100,1,0,-0.475,14,3,0.165,0,0
65.0,0,0,1.21,62,1,0,0.4,13,2,0.198,0,0
122.5,1,4,6.85,58,1,0,0.884,18,2,0.135,2,0
132.36,2,2,1.55,256,1,0,1.238,9,6,0.263,2,0
1.3,6,7,27.38,11,1,4,5.274,13,3,0.955,0,1
1.99,4,4,63.35,1,1,2,3.32,19,1,0.638,0,1
24.61,0,3,1.27,183,1,0,0.346,21,2,0.088,2,0
153.58,0,3,9.75,353,1,0,0.964,21,2,0.274,1,0
63.15,2,6,3.21,232,1,0,0.336,18,5,0.069,2,0
84.9,2,2,5.6,174,1,0,0.462,9,6,0.282,1,0
1.29,6,7,101.99,11,0,2,4.032,19,1,0.926,0,1
1.05,5,7,70.28,12,1,2,3.371,17,2,0.027,0,1
108.96,2,6,6.24,103,1,0,1.174,15,6,0.204,1,0
105.48,1,5,1.02,9,1,0,0.719,6,3,0.234,1,0
1.61,6,8,143.55,5,1,4,4.868,18,3,0.139,0,1
13.87,1,1,6.62,41,1,0,-0.275,17,6,0.113,0,0
18.72,1,3,2.44,128,1,0,-0.233,15,5,0.264,2,0
0.64,4,4,121.14,4,0,4,3.597,19,5,0.842,0,1
117.29,0,2,5.81,278,1,0,1.208,14,0,0.156,2,0
69.65,1,2,0.01,360,1,0,-0.494,17,1,0.214,2,0
16.27,2,3,7.8,128,1,0,0.282,11,0,0.082,2,0
104.93,2,3,8.94,192,1,0,-0.283,10,5,0.08,2,0
90.69,0,0,5.65,119,0,0,0.508,6,6,0.209,1,0
12.36,2,6,8.27,274,1,0,0.449,19,4,0.092,2,0
1.01,6,8,141.63,2,0,1,4.287,8,5,0.203,0,1
88.21,0,0,8.84,37,1,0,1.456,18,4,0.129,2,0
112.95,2,6,4.66,32,1,0,-0.829,17,6,0.275,1,0
17.17,1,5,3.19,182,1,0,-0.562,12,4,0.138,1,0
132.7,1,3,4.58,91,1,0,0.154,18,4,0.211,0,0
93.77,1,3,1.6,14,1,0,1.053,15,5,0.206,2,0
46.13,0,1,7.4,256,0,0,1.135,9,5,0.189,1,0
86.47,2,2,0.48,282,1,0,0.764,8,4,0.023,0,0
7.88,1,5,9.18,206,1,0,1.344,13,1,0.057,1,0
